TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU
TID_ACHIEVEMENT_DESTROY_WALLS,Destroy <number> Walls in Multiplayer battles,Détruisez <number> murs lors de batailles Multijoueur.,Zerstöre <number> Mauern in Mehrspieler-Kämpfen,Destruye <number> muros en batallas multijugador.,Distruggi <number> Mura in battaglie multigiocatore,Vernietig <number> muren in multiplayergevechten,Ødelegg <number> vegger i slag med flere spillere,Destrua <number> muros em batalhas multiplayer,Çoklu oyuncu savaşlarında <number> Duvar yok et,マルチプレイで通算 <number>個 の壁を破壊する,在联机游戏中摧毁<number>面城墙,멀티플레이 전투에서 장벽 <number>개 파괴,Уничтожьте <number> Стен в Многопользовательском Режиме
TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED,Total walls destroyed: <value>,Total de murs détruits : <value>,Mauern zerstört (insgesamt): <value>,Total de muros destruidos: <value>,Totale mura distrutte: <value>,Totaal muren vernietigd: <value>,Totalt antall murer ødelagt: <value>,Total de muros destruídos: <value>,Yok edilen toplam duvar: <value>,破壊した壁の総数：<value>,总共摧毁的城墙数量：<value>,파괴한 장벽: <value>,Стен уничтожено: <value>
TID_ACHIEVEMENT_DESTROY_WALLS_TITLE,Wall Buster,Destructeur de murs,Mauermeister,Revienta muros,Spacca pareti,Muurknaller,Murbrekker,Detonador de muros,Duvar İmhacısı,ウォールバスター,拆墙达人,장벽 해체가,Стенобой
TID_ACHIEVEMENT_DESTROY_XBOW,Destroy <number> X-Bows in Multiplayer battles,Détruisez <number> arcs-X lors de batailles en multijoueur.,Zerstöre <number> X-Bögen in Mehrspieler-Kämpfen,Destruye <number> X-Ballestas en batallas multijugador.,Distruggi <number> archi-X nelle battaglie multigiocatore,Vernietig <number> X-bogen in multiplayergevechten,Ødelegg <number> X-buer i flerspillerkamper,Destrua <number> X-Bestas em batalhas Multiplayer,Çoklu Oyuncu savaşlarında <number> adet X-Yayı yok et,マルチプレイで巨大クロスボウを<number>個破壊する,在联机游戏中摧毁<number>个X连弩,멀티플레이 전투에서 대형 석궁 <number>개 파괴,Уничтожьте <number> Арбалетов в Многопользовательском Режиме
TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED,Total X-Bows destroyed: <value>,Total d'arcs-X détruits : <value>,X-Bögen zerstört (insgesamt): <value>,Total de X-Ballestas destruidas: <value>,Totale Archi-X distrutti: <value>,Totaal X-bogen vernietigd: <value>,Totalt antall X-buer ødelagt: <value>,Total de X-Bestas destruídas: <value>,Yok edilen toplam X-Yayı: <value>,破壊した巨大クロスボウの総数：<value>,总共摧毁的X-连弩数量：<value>,파괴한 대형 석궁: <value>,Арбалетов уничтожено: <value>
TID_ACHIEVEMENT_DESTROY_XBOW_ONE,Destroy one X-Bow in a Multiplayer battle,Détruisez un arc-X lors d'une bataille en multijoueur.,Zerstöre einen X-Bogen in einem Mehrspieler-Kampf,Destruye una X-Ballesta en una batalla multijugador.,Distruggi un arco-X in una battaglia multigiocatore,Vernietig één X-boog in een multiplayergevecht,Ødelegg én X-bue i en flerspillerkamp,Destrua uma X-Besta numa batalha Multiplayer,Bir Çoklu Oyuncu savaşında bir adet X-Yayı yok et,マルチプレイで巨大クロスボウを1個破壊する,在联机游戏中摧毁1个X连弩,멀티플레이 전투에서 대형 석궁 1개 파괴,Уничтожьте один Арбалет в Многопользовательском Режиме
TID_ACHIEVEMENT_DESTROY_XBOW_TITLE,X-Bow Exterminator,Exterminateur d'arc-X,X-Bogen-Vernichter,Exterminio de X-Ballesta,Sterminatore di Archi-X,X-boog vernietiger,Utrydder av X-bue,Exterminador de X-Bestas,X-Yayı İmha Edicisi,巨大クロスボウ・エクスターミネーター,连弩终结者,대형 석궁 척살자,Ликвидатор Арбалетов
TID_ACHIEVEMENT_DONATE_UNITS,Donate <number> Clan Castle capacity worth of reinforcements,Faites don de <number> troupes de renfort.,Spende <number> Clanburgkapazität an Verstärkungstruppen,Dona <number> tropas del Castillo del Clan a los aliados.,Dona <number> truppe di rinforzo al Castello del clan,Doneer <number> clankasteelcapaciteit waarde aan versterkingen.,Doner forsterkninger verdt <number> fulle klanslott,Doar <number> unidades em capacidade do Castelo do Clã,<number> Klan Kalesi kapasitesinde takviye asker bağışı yap,クランの城の容量 <number>人分 の援軍を送る,向好友派出<number>单位援兵,클랜 성 인구 <number>에 해당하는 지원군 파병,Отдать подкреплению <number> мест в Крепости Клана
TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED,Total capacity donated: <value>,Total des dons effectués : <value>,Truppen gespendet (insgesamt): <value>,Total de capacidad donada: <value>,Totale capacità donata: <value>,Totale capaciteit gedoneerd: <value>,Total kapasitet donert: <value>,Total de capacidade doada: <value>,Bağışlanan toplam kapasite: <value>,送った援軍の総数：<value>,总共派出的援兵：<value>,지원한 인구수: <value>,Мест отдано: <value>
TID_ACHIEVEMENT_DONATE_UNITS_TITLE,Friend in Need,Ami dans le besoin,Freund in Not,Amigo en apuros,Un amico in difficoltà,Behoeftige vrienden,Venner i nød,Amigo em apuros,Muhtaç Arkadaş,助っ人参上,患难之交,친구 돕기,Друг в Беде
TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED,Highest Gold Storage level: <value>,Plus haut niveau de réserve d'or : <value>,Höchstes Goldlager-Level: <value>,Nivel máximo del almacén de oro: <value>,Livello superiore del Deposito d'oro: <value>,Hoogste level gouddepot: <value>,Høyeste lagringsnivå for gull: <value>,Maior nível de Armazenagem de Ouro: <value>,En Yüksek Altın Deposu seviyesi: <value>,金庫の最大レベル：<value>,最高储金罐等级：<value>,최고 골드 저장소 레벨: <value>,Высший уровень Золотохранилища: <value>
TID_ACHIEVEMENT_GOLDSTORAGE_TITLE,Bigger Coffers,Réserves infinies,Mehr Volumen,Cofres más grandes,Casse più grandi,Grotere schatkisten,Større lagre,Cofres Maiores,Daha Büyük Kasalar,きんきら金庫,储金罐达人,더 큰 금고,Большой Сундук
TID_ACHIEVEMENT_GOLDSTORAGE_UPGRADE,Upgrade a Gold Storage to level <number>,Améliorez une Réserve d´or au niveau <number>.,Verbessere ein Goldlager auf Level <number>,Mejora un almacén de oro al nivel <number>.,Migliora un Deposito d'oro fino al livello <number>,Upgrade een goudkluis naar level <number>,Oppgrader et gullager til nivå <number>,Atualize uma Armazenagem de Ouro para o nível <number>,Bir Altın Deposunu <number>. seviyesine yükselt,金庫のどれかをレベル<number>にアップグレードする,升级储金罐至<number>级,골드 저장소 <number>레벨 업그레이드,Улучшите Золотохранилище до <number> уровня
TID_ACHIEVEMENT_LEAGUE_PROGRESS_1,Join the Crystal League,Rejoignez la ligue de Cristal.,Tritt der Kristall-Liga bei,Únete a la liga de Cristal,Unisciti alla Lega Cristallo,Bereik de Kristaldivisie,Bli med i krystalligaen,Junte-se à Liga Cristal,Kristal Lig'e katıl,クリスタルリーグに加入する,加入水晶杯联赛,크리스털 단계 진입,Присоединитесь к Хрустальной Лиге
TID_ACHIEVEMENT_LEAGUE_PROGRESS_2,Reach the Masters League,Rejoignez la ligue Master.,Erreiche die Meister-Liga,Alcanza la liga de maestros,Raggiungi la Lega Master,Behaal de Meestersdivisie,Bli med i mesterligaen,Alcance a Liga Master,Usta Lig'e katıl,マスターリーグに到達する,加入大师联赛,마스터 단계 진입,Попадите в Лигу Мастеров
TID_ACHIEVEMENT_LEAGUE_PROGRESS_3,Become a Champion!,Devenez un champion !,Werde ein Champion!,¡Conviértete en un campeón!,Diventa un campione!,Word kampioen!,Bli en mester!,Torne-se um Campeão!,Bir Şampiyon ol!,チャンピオンリーグに到達する,加入冠军联赛,챔피언 단계 달성!,Станьте Чемпионом!
TID_ACHIEVEMENT_LEAGUE_TITLE,League All-Star,Ligue All-star,Held der Ligen,Liga All-Star,Lega a 5 stelle,All-Star Divisie,Liga All-Star,Melhor da Liga,Lig All-Star,リーグオールスター,联赛明星,리그 올스타,Звездная Лига
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR,Steal <number> Dark Elixir,Volez <number> d'élixir noir.,Stiehl <number> Dunkle Elixiere,Roba <number> elixires oscuros.,Ruba <number> x Elisir nero,Steel <number> eenheden duister elixer,Stjel <number> mørk eliksir,Roube <number> elixir negro,<number> Kara İksir çalın,ダークエリクサーを合計 <number> 奪う,盗取<number>滴暗黑重油,다크 엘릭서 <number> 약탈,Украдите <number> Черного Эликсира
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED,Total Dark Elixir looted: <value>,Total des élixirs noirs ramassés : <value>,Dunkles Elixier erbeutet (insgesamt): <value>,Total de elixir oscuro conseguido: <value>,Totale Elisir neri acquisiti: <value>,Totaal duister elixer geplunderd: <value>,Samlet utbytte i mørk eliksir: <value>,Total de Elixir Negro roubado: <value>,Yağmalanan toplam Kara İksir: <value>,戦闘で獲得したダークエリクサーの総数：<value>,总共获得的暗黑重油战利品：<value>,약탈한 다크 엘릭서: <value>,Черного Эликсира украдено: <value>
TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_TITLE,Heroic Heist,Casse du siècle,Helden Coup,Asalto heroico,Colpo eroico,Oppermachtige overval,Heltemodig ran,Assalto Heróico,Kahramanca Soygun,つゆだくエリクサー,盗亦有道,용감한 강도,Героическая Кража
TID_ACHIEVEMENT_LOOT_ELIXIR,Steal <number> elixir,Volez <number> élixirs.,Stehle <number> Elixier,Roba <number> elixires.,Ruba <number> elisir,Steel <number> elixer,Stjel <number> eliksir,Roubar <number> elixir,<number> iksir çal,エリクサーを合計 <number> 奪う,盗取<number>滴圣水,엘릭서 <number> 약탈,Украдите <number> эликсира
TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED,Total Elixir looted: <value>,Total d'élixir ramassé : <value>,Elixier erbeutet (insgesamt): <value>,Total de elixir conseguido: <value>,Totale Elisir acquisiti: <value>,Totaal elixer geplunderd: <value>,Samlet utbytte i eliksirer: <value>,Total de Elixir roubado: <value>,Yağmalanan toplam İksir: <value>,戦闘で獲得したエリクサーの総数：<value>,总共获得的圣水战利品：<value>,약탈한 엘릭서: <value>,Эликсира украдено: <value>
TID_ACHIEVEMENT_LOOT_ELIXIR_TITLE,Elixir Escapade,Voleur d´élixir,Elixier-Streich,Ladrón de elixir,Fuga con elisir,Elixierescapade,Eliksireskapade,Fuga do Elixir,İksir Macerası,エリクサーさくさく,圣水恶作剧,엘릭서 약탈,Эликсирная Авантюра
TID_ACHIEVEMENT_LOOT_GOLD,Steal <number> gold,Volez <number> d´or.,Stehle <number> Gold,Roba <number> de oro.,Ruba <number> oro,Steel <number> goud,Stjel <number> gull,Roubar <number> ouro,<number> altın çal,ゴールドを合計 <number> 奪う,盗取<number>金币,골드 <number> 약탈,Украдите <number> золотых
TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED,Total Gold looted: <value>,Total d'or ramassé : <value>,Gold erbeutet (insgesamt): <value>,Total de oro conseguido: <value>,Totale Oro acquisito: <value>,Totaal goud geplunderd: <value>,Samlet utbytte i gull: <value>,Total de Ouro roubado: <value>,Yağmalanan toplam Altın: <value>,戦闘で獲得したゴールドの総数：<value>,总共获得的金币战利品：<value>,약탈한 골드: <value>,Золота украдено: <value>
TID_ACHIEVEMENT_LOOT_GOLD_TITLE,Gold Grab,Ruée vers l´or,Goldjagd,Ladrón de oro,Cercatore d'oro,Goudgraai,Gullfangst,Corrida do Ouro,Altın Kapmaca,ゴールドごろごろ,抓金手,골드 약탈,Вымогатель Золота
TID_ACHIEVEMENT_NPC_STARS,Win <number> stars on the Campaign Map,Gagnez <number> étoiles sur la Carte de la campagne.,Gewinne <number> Sterne auf der Kampagnenkarte,Gana <number> estrellas en el mapa de la campaña.,Vinci <number> stelle sulla Mappa campagna,Win <number> sterren op de Campagnekaart,Vinn <number> stjerner på kampanjekartet,Ganhe <number> estrelas no mapa de campanha,Senaryo Haritası üzerinde <number> yıldız kazan,キャンペーンマップ上で星を合計 <number>個 獲得する,在单人模式地图上赢取<number>颗星,캠페인 지도에서 별 <number>개 획득,Заработайте <number> звезд на карте кампании
TID_ACHIEVEMENT_NPC_STARS_COMPLETED,Stars in Campaign Map: <value>,Étoiles sur la carte de la campagne : <value>,Sterne auf der Kampagnenkarte: <value>,Estrellas en el mapa de Campañas: <value>,Stelle sulla Mappa campagna: <value>,Sterren op campagnekaart: <value>,Stjerner på kampanjekart: <value>,Estrelas no Mapa de Campanha: <value>,Senaryo Haritası üzerindeki Yıldızlar: <value>,キャンペーンマップの星：<value>,单人模式地图上获得的星：<value>,획득한 캠페인 지도의 별: <value>,Звезд на карте кампании: <value>
TID_ACHIEVEMENT_NPC_STARS_TITLE,Get those Goblins!,Attrapez ces Gobelins !,Schnapp dir diese Kobolde!,¡Alcanza a esos duendes!,Prendi quei goblin!,Pak die goblins!,Ta disse tussene!,Pegue aqueles Goblins!,Şu Goblinleri yakala!,ゴブリンどもをやっつけろ！,消灭哥布林！,고블린을 처치하세요!,Захвати этих Гоблинов!
TID_ACHIEVEMENT_PVP_ATTACKS,Win <number> Multiplayer battles,Gagnez <number> batailles Multijoueur.,Gewinne <number> Mehrspieler-Kämpfe,Gana <number> batallas multijugador,Vinci <number> battaglie multigiocatore,Win <number> multiplayergevechten,Vinn <number> slag med flere spillere,Vença <number> batalhas multiplayer,<number> çoklu oyuncu savaşı kazan,マルチプレイで通算 <number>回 勝利する,赢得<number>场联机游戏胜利,멀티플레이 전투 <number>회 승리,Победите <number> Многопользовательском Режиме
TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED,Total multiplayer battles won: <value>,Total de batailles remportées en multjoueur : <value>,Mehrspieler-Kämpfe gewonnen (insgesamt): <value>,Total de batallas multijugador ganadas: <value>,Totale battaglie multigiocatore vinte: <value>,Totaal multiplayergevechten gewonnen: <value>,Totalt antall kamper i flerspiller vunnet: <value>,Total de batalhas multiplayer ganhas: <value>,Kazanılan toplam çoklu oyuncu savaşı: <value>,マルチプレイでの勝利数：<value>,总共赢得的联机游戏战斗次数：<value>,승리한 멀티플레이 전투: <value>,Выиграно в многопользовательском режиме: <value>
