Name,VisualLevel,TID,InfoTID,EnabledByCalendar,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,RequiredHeroTavernLevel,AttackRange,AltAttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SquarePicture,SquarePictureSWF,ArmyTrainingPicture,ArmyTrainingPictureSWF,Projectile,PreferedTargetBuilding,DeployEffect,AttackEffect,AttackEffectAlt,HitEffect,IsFlying,AirTargets,GroundTargets,IsJumper,AttackCount,DieEffect,Animation,AbilityAttackCount,MaxSearchRadiusForDefender,HousingSpace,HealerWeight,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilitySummonTroop,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,StrengthWeight,StrengthWeight2,AlertRadius,Scale,AuraSpell,AuraSpellLevel,AuraTID,AuraDescTID,AuraBigPictureExportName,RetributionSpell,RetributionSpellLevel,RetributionSpellTriggerHealth,HasAltMode,AltModeFlying,AltModeAnimation,PreferedTargetBuildingClass,NoAttackOverWalls,TargetGroups,FightWithGroups,TargetGroupsRadius,TargetGroupsRange,TargetGroupsMinWeight,SmoothJump,WakeUpSpeed,WakeUpSpace,FriendlyGroupWeight,EnemyGroupWeight,AttackEffectShared,TargetedEffectOffset,TriggersTraps,VillageType,NoDefence,PreAttackEffect,DefaultSkin,NewTargetAttackDelay,Gender,SpecialAbilities,SpecialAbilitiesLevel,OnlyShowRageBoost,AvoidNoiseInAttackPositionSelection,AbilityExtraPowerMaxLevel,PreviewScenario,AltPreviewScenario,ItemSlotCount,DefaultItems,MigrationGearLevel,HeroFlagSWF,HeroFlagExportName,HeroFlagBaseExportName,HeroBannerPrefix,LevelGrantedByTavernLevel,ControlledMoveEffect,ForceRetaliation
,22,,,,,3062,0,,3300000,8,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2;2;2,,,,,,,,,,,,,,,
,23,,,,,3094,0,,3400000,8,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2;2;2,,,,,,,,,,,,,,,
,24,,,,,3124,0,,3500000,8,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2;2;2,,,,,,,,,,,,,,,
,25,,,,,3155,0,,3600000,8,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;3;3,,,,,,,,,,,,,,,
,26,,,,,3187,0,,3700000,9,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;3;3,,,,,,,,,,,,,,,
,27,,,,,3220,0,,3800000,9,,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;3;3,,,,,,,,,,,,,,,
,28,,,,,3252,0,,3900000,9,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;3;3,,,,,,,,,,,,,,,
,29,,,,,3285,0,,4000000,9,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3;3;3,,,,,,,,,,,,,,,
,30,,,,,3318,0,,4100000,9,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;4;4,,,,,,,,,,,,,,,
,31,,,,,3348,0,,4200000,10,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;4;4,,,,,,,,,,,,,,,
,32,,,,,3375,0,,4300000,10,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;4;4,,,,,,,,,,,,,,,
,33,,,,,3402,0,,4400000,10,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;4;4,,,,,,,,,,,,,,,
,34,,,,,3429,0,,4500000,10,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4;4;4,,,,,,,,,,,,,,,
,35,,,,,3456,,,,10,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5;5;5,,,,,,,,,,,,,,,
Minion Prince,1,TID_MINION_HERO,TID_HERO_INSTRUCTIONS_MINION_HERO,,300,200,0,DarkElixir,5000,9,3,450,,850,,173,1,,sc/ui.sc,icon_hero_minionprince,unit_minion_prince_big,sc/info_minion_prince.sc,icon_hero_minionprince_profile,sc/ui.sc,hero_art_mp,sc/ui.sc,MinionHeroAttackProjectile,,Hero Deploy,,,Minion Prince Hit,TRUE,TRUE,TRUE,FALSE,,,,,1000,25,21,Elixir,,Barbarian King Scream,,,300,,TID_HERO_ABILITY_BARBARIAN_DESC,icon_hero_minionprince_ability1,unit_minion_prince_ability_big,3200,1400,1200,,,,,,,,,,,,,,,,,,,,,,,2100,2500,,80,TRUE,,,,MinionHeroDefault,450,M,MinionPrinceAbilityHeal,1,,TRUE,,HeroMinionPrince,,2,Henchmen Puppet; Dark Orb;,1,sc/buildings.sc,MH_rally_point,MH_rally_point_base,mp,3,ForceMoveMP,TRUE
,2,,,,,242,0,,5500,9,3,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,3,,
,3,,,,,284,0,,6000,9,3,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,3,,
,4,,,,,326,0,,6500,9,3,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,3,,
,5,,,,,368,0,,7000,9,3,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,3,,
,6,,,,,410,0,,7500,9,3,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,3,,
,7,,,,,452,0,,8000,9,3,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,3,,
,8,,,,,494,0,,8500,9,3,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,3,,
,9,,,,,536,0,,10000,9,3,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,3,,
,10,,,,,578,0,,10500,9,3,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,4,,
,11,,,,,620,0,,11000,10,4,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,4,,
,12,,,,,662,0,,11500,10,4,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,4,,
,13,,,,,704,0,,12000,10,4,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,4,,
,14,,,,,746,0,,12500,10,4,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,4,,
,15,,,,,788,0,,13000,10,4,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,4,,
,16,,,,,830,0,,13500,10,4,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,4,,
,17,,,,,872,0,,14000,10,4,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,4,,
,18,,,,,914,0,,14500,10,4,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,4,,
,19,,,,,956,0,,15000,10,4,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,,,,,4,,
,20,,,,,998,0,,17000,10,4,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,5,,
,21,,,,,1040,0,,19000,11,5,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,5,,
,22,,,,,1082,0,,21000,11,5,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7400,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,5,,
,23,,,,,1124,0,,23000,11,5,,,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600,4650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,5,,
,24,,,,,1166,0,,25000,11,5,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,5,,
,25,,,,,1208,0,,27000,11,5,,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,5,,,,,5,,
,26,,,,,1250,0,,29000,11,5,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6,,,,,5,,
,27,,,,,1292,0,,31000,11,5,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6,,,,,5,,
,28,,,,,1334,0,,33000,11,5,,,,,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6,,,,,5,,
,29,,,,,1376,0,,35000,11,5,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,5550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6,,,,,5,,
,30,,,,,1418,0,,36000,11,5,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,6,,,,,6,,
,31,,,,,1460,0,,37000,12,6,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,6,,
,32,,,,,1502,0,,38000,12,6,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,6,,
,33,,,,,1544,0,,39000,12,6,,,,,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500,6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,6,,
,34,,,,,1586,0,,40000,12,6,,,,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,7,,,,,6,,
,35,,,,,1628,0,,41000,12,6,,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11500,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,7,,,,,6,,
,36,,,,,1670,0,,42000,12,6,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8,,,,,6,,
,37,,,,,1712,0,,43000,12,6,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500,7800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8,,,,,6,,
,38,,,,,1754,0,,44000,12,6,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000,8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8,,,,,6,,
,39,,,,,1796,0,,45000,12,6,,,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500,8400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8,,,,,6,,
,40,,,,,1838,0,,50000,12,6,,,,,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,8700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,8,,,,,7,,
,41,,,,,1880,0,,55000,13,7,,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14300,8900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,,,,,7,,
,42,,,,,1922,0,,60000,13,7,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14600,9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,,,,,7,,
,43,,,,,1964,0,,65000,13,7,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14900,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,,,,,7,,
,44,,,,,2006,0,,70000,13,7,,,,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15200,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,9,,,,,7,,
,45,,,,,2048,0,,75000,13,7,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500,9700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,9,,,,,7,,
,46,,,,,2090,0,,80000,13,7,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15800,9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,,,,,7,,
,47,,,,,2132,0,,85000,13,7,,,,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16100,10100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,,,,,7,,
,48,,,,,2174,0,,90000,13,7,,,,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16400,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,,,,,7,,
,49,,,,,2216,0,,95000,13,7,,,,,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16700,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,,,,,7,,
,50,,,,,2258,0,,100000,13,7,,,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,10,,,,,8,,
,51,,,,,2300,0,,105000,14,8,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17100,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11,,,,,8,,
,52,,,,,2342,0,,110000,14,8,,,,,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11,,,,,8,,
,53,,,,,2384,0,,115000,14,8,,,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17300,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11,,,,,8,,
,54,,,,,2426,0,,120000,14,8,,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17400,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11,,,,,8,,
,55,,,,,2468,0,,125000,14,8,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500,11200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,11,,,,,8,,
,56,,,,,2510,0,,130000,14,8,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,12,,,,,8,,
,57,,,,,2552,0,,135000,14,8,,,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17700,11400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,12,,,,,8,,
,58,,,,,2594,0,,140000,14,8,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17800,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,12,,,,,8,,
,59,,,,,2636,0,,145000,14,8,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17900,11600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,12,,,,,8,,
,60,,,,,2678,0,,150000,14,8,,,,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,12,,,,,9,,
,61,,,,,2720,0,,155000,15,9,,,,,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18200,11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,13,,,,,9,,
,62,,,,,2762,0,,160000,15,9,,,,,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,13,,,,,9,,
,63,,,,,2804,0,,165000,15,9,,,,,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18600,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,13,,,,,9,,
,64,,,,,2846,0,,170000,15,9,,,,,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18800,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,13,,,,,9,,
,65,,,,,2888,0,,175000,15,9,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000,12200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,13,,,,,9,,
,66,,,,,2930,0,,180000,15,9,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19200,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,14,,,,,9,,
,67,,,,,2972,0,,185000,15,9,,,,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19400,12400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,14,,,,,9,,
,68,,,,,3014,0,,190000,15,9,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19600,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,14,,,,,9,,
,69,,,,,3056,0,,195000,15,9,,,,,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19800,12600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,14,,,,,9,,
,70,,,,,3098,0,,200000,15,9,,,,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,14,,,,,10,,
,71,,,,,3161,0,,205000,16,10,,,,,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150,12800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,15,,,,,10,,
,72,,,,,3224,0,,210000,16,10,,,,,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20300,12900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,15,,,,,10,,
,73,,,,,3287,0,,220000,16,10,,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20450,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,15,,,,,10,,
,74,,,,,3350,0,,230000,16,10,,,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20600,13100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,15,,,,,10,,
,75,,,,,3413,0,,240000,16,10,,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20750,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,15,,,,,10,,
,76,,,,,3476,0,,250000,16,10,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20900,13300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,15,,,,,10,,
,77,,,,,3539,0,,260000,16,10,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21050,13400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,15,,,,,10,,
,78,,,,,3602,0,,270000,16,10,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21200,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,15,,,,,10,,
,79,,,,,3665,0,,280000,16,10,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21350,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,15,,,,,10,,
,80,,,,,3728,0,,290000,16,10,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21500,13700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,11,,
,81,,,,,3791,0,,300000,17,11,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650,13750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,11,,
,82,,,,,3854,0,,310000,17,11,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21800,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,11,,
,83,,,,,3917,0,,320000,17,11,,,,,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21950,13850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,11,,
,84,,,,,3980,0,,330000,17,11,,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22100,13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,15,,,,,11,,
,85,,,,,4043,0,,340000,17,11,,,,,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22250,13950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,11,,
,86,,,,,4106,0,,350000,17,11,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22400,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,11,,
,87,,,,,4169,0,,360000,17,11,,,,,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22550,14050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,11,,
,88,,,,,4232,0,,370000,17,11,,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22700,14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,11,,
,89,,,,,4295,0,,380000,17,11,,,,,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22850,14150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,15,,,,,11,,
