TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP
TID_ALLIANCE_REJECT_MESSAGE_TITLE,Reject: <name>,Rejeter : <name>,Ablehnen: <name>,Rechazar: <name>,Respingi: <name>,Negeer: <name>,Avvis: <name>,Rejeitar: <name>,Reddet: <name>,拒否：<name>
TID_ALLIANCE_REQUEST_ACCEPTED,Welcome to our clan!,Bienvenue dans votre clan !,Willkommen in unserem Clan!,¡Bienvenido a nuestro clan!,Ti diamo il benvenuto nel nostro clan!,Welkom bij onze clan!,Velkommen til klanen!,Bem-vindo ao nosso clã!,Klanımıza hoş geldin!,クランへようこそ！
TID_ALLIANCE_REQUEST_DECLINED,Clan request declined!,Demande de clan refusée !,Clan-Anfrage abgelehnt!,¡Se ha denegado la petición del clan!,Richiesta rifiutata!,Clanverzoek afgewezen!,Klanforespørsel avslått!,Solicitação de clã recusada!,Klan isteği reddedildi!,クランリクエストが拒否されました！
TID_ALLIANCE_ROLE_ADMIN,Clan Elder,Aîné du clan,Clanältester,Anciano del clan,Anziano del clan,Clanoudste,Klansenior,Ancião do Clã,Klan Büyüğü,クランエルダー
TID_ALLIANCE_ROLE_LEADER,Clan Leader,Chef du clan,Clanführer,Líder del clan,Capoclan,Clanleider,Klanleder,Líder do Clã,Klan Lideri,クランリーダー
TID_ALLIANCE_ROLE_MEMBER,Clan Member,Membre du clan,Clanmitglied,Miembro del clan,Membro del clan,Clanlid,Klanmedlem,Membro do Clã,Klan Üyesi,クランメンバー
TID_ALLIANCE_SCORE_LIMIT_NONE,0,0,0,0,0,0,0,0,0,0
TID_ALLIANCE_SEARCH,Search Clans:,Rechercher clans :,Clans suchen:,Buscar clanes:,Cerca Clan:,Clans doorzoeken:,Søk etter klaner:,Buscar clãs:,Klan Ara:,クラン検索：
TID_ALLIANCE_SEARCH_HINT,Please type the first letters of the clan you want to search,Veuillez saisir les premières lettres du clan que vous voulez rechercher.,Gib bitte den ersten Buchstaben des gesuchten Clans ein,Escribe las primeras letras del clan que quieres buscar.,Digita le prime lettere del nome del clan che vuoi cercare.,Typ de eerste letters van de clan in die je wilt zoeken,Skriv inn første bokstav i navnet på klanen du vil søke etter,Digite as primeiras letras do clã que deseja buscar,Lütfen aramak istediğin klanın ilk harflerini gir,検索したいクランの最初の文字を入力してください
TID_ALLIANCE_SELECT_BADGE,Select Clan Symbol,Choisissez le symbole du clan,Clansymbol auswählen,Seleccionar símbolo del clan,Seleziona simbolo del clan,Kies een clansymbool,Velg klansymbol,Selecione Símbolo do Clã,Klan Simgesi seç,クランシンボルを選択してください
TID_ALLIANCE_SNEAK_PREVIEW,Unlock Clans by rebuilding the Clan Castle!,Débloquez des clans en reconstruisant le château du clan !,"Schalte Clans frei, indem du die Clanburg wieder aufbaust!",¡Desbloquea clanes reconstruyendo el castillo!,Sblocca i clan ricostruendo il castello!,Ontgrendel clans door het clankasteel weer op te bouwen!,Åpne klaner ved å bygge klanslottet på nytt!,Desbloquear Clãs pela reconstrução do Castelo do Clã!,Klan Kalesini tekrar kurarak Klanların kilidini aç!,クラン砦を再度建ててクランのロックを解除します。
TID_ALLIANCE_STREAM_REWARD,You received <number>xp,Vous avez reçu <number> d'XP,Du erhältst <number> EP,Has recibido <number> EXP.,Hai ricevuto <number>XP,Je hebt <number> XP ontvangen,Du mottok <number>xp,Você recebeu <number> xp,<number>xp aldın,<number>xpを受け取りました
TID_ALLIANCE_STREAM_THANKS,Thank you for the troops!,Merci pour les troupes !,Danke für die Truppen!,¡Gracias por las tropas!,Grazie per le truppe!,Bedankt voor de troepen!,Takk for soldatene!,Obrigado pelas tropas!,Askerler için teşekkürler!,援軍を送っていただきありがとうございます。
TID_ALLIANCE_TAB_NAME,Search Clans,Rechercher clans,Clans suchen,Buscar clanes,Cerca Clan,Clans doorzoeken,Søk etter klaner,Buscar clãs,Klan Arama,クランを検索する
TID_ALLIANCE_TROOP_RECEIVED,You have received level <level> <troop> from <avatar>!,Vous avez reçu <troop> de niveau <level> de la part de <avatar> !,Du hast Level <level> <troop> von <avatar> erhalten!,¡Has recibido <troop> <level> de <avatar>!,Hai ricevuto <troop> di livello <level> da <avatar>!,Je hebt <troop> met niveau <level> ontvangen van <avatar>!,Du har mottatt nivå <level> <troop> fra <avatar>!,Você recebeu <troop> nível <level> de <avatar>!,<avatar> tarafından size <level> seviye <troop> gönderildi!,<avatar>からレベル<level><troop>を受け取りました。
TID_ALLIANCE_TYPE_CLOSED,Closed,Fermé,Geschlossen,Cerrado,Chiuso,Besloten,Lukket,Fechado,Kapalı,閉鎖
TID_ALLIANCE_TYPE_INVITE_ONLY,Invite only,Sur invitation,Nur auf Einladung,Solo con invitación,Solo su invito,Alleen op uitnodiging,Bare inviter,Somente convidados,Yalnızca davet,招待制
TID_ALLIANCE_TYPE_OPEN,Anyone can join,Ouvert,Jeder kann beitreten,Cualquiera puede unirse,Tutti possono unirsi,Iedereen kan toetreden,Alle kan delta,Qualquer pessoa pode aderir,Herkes katılabilir,誰でも加入できます。
TID_ALL_SPELLS_USED,No spells left,Plus aucun sort,Keine Zaubersprüche übrig,No quedan hechizos.,Nessun incantesimo rimasto,Geen spreuken over,Ingen trolldom igjen,Acabaram os feitiços,Büyü kalmadı,呪文は残っていません。
TID_ALL_TROOPS_USED,All forces deployed,Toutes les forces ont été déployées,Alle Truppen eingesetzt,Desplegadas todas las unidades.,Tutte le forze schierate,Alle eenheden zijn ingezet,Alle styrker utplassert,Todas as forças implantadas,Tüm kuvvetler konuşlandı,全勢力を展開しました
TID_ALREADY_BOOSTED,This building is already being boosted!,Ce bâtiment est déjà accéléré !,Dieses Gebäude hat bereits einen Schub!,¡Este edificio ya se ha acelerado!,Questo edificio è già stato incrementato!,Dit gebouw wordt al geboost!,Denne bygningen er allerede forsterket!,A produção desta construção já foi acelerada!,Bu bina zaten arttırılmış!,この建物は既に強化されています！
TID_AMMO_ALREADY_FULL,X-Bow is fully loaded!,L'arc-X est complétement chargé !,Die Armbrust ist jetzt vollständig geladen.,¡La X-Ballesta está totalmente cargada!,Arco-X completamente carico!,X-boog is volledig gespannen!,X-buen er fulladet!,X-Besta está totalmente carregada!,X-Topu ağzına kadar dolu!,クロスボウを完全に装填しました！
TID_AMMO_FILL_CONFIRMATION,X-Bow is now loaded!,L'arc-X est chargé !,X-Bogen ist jetzt geladen!,¡La X-Ballesta ya está cargado!,L´Arco-X ora è carico!,De X-boog is nu geladen!,X-buen er nå ladet!,A X-Besta está carregada!,X-Topu şu anda yüklü!,クロスボウを装填しました！
TID_ARCHER,Archer,Archer,Bogenschütze,Arquero,Arciere,Boogschutters,Bueskytter,Arqueira,Okçu,アーチャー
TID_ARCHER_QUEEN,Archer Queen,Reine des archers,Bogenschützen-Königin,Reina Arquera,Regina degli arcieri,Boogschutterkoningin,Bueskytterdronningen,Rainha Arqueira,Okçu Kraliçe,アーチャークイーン
TID_ARCHER_QUEEN_INFO,"The Archer Queen is an eagle-eyed warrior, whose weapon of choice is a modified X-Bow that few men could dream of wielding. She can attack enemy villages or guard your village.",La reine des archers est une guerrière à l'œil d'aigle dont l'arme favorite est son arc-X modifié que peu d'hommes seraient capables de manier. Elle peut attaquer les villages ennemis ou protéger votre village.,"Die Bogenschützen-Königin ist eine adleräugige Kriegerin, deren Lieblingswaffe eine modifizierte Mini-Armbrust ist, von der nur wenige davon träumen könnte sie handzuhaben. Sie kann feindliche Dörfer angreifen oder dein Dorf verteidigen.",La Reina Arquera es una guerrera con vista de águila que lleva una modificada X-Ballesta que muy pocos hombres podrían soñar con usar. Puede atacar aldeas enemigas o proteger tu propia aldea.,La Regina degli arcieri è una guerriera dalla vista acutissima. Si avvale di un Arco-X modificato in miniatura che solo pochi umani possono pensare di brandire. Può attaccare i villaggi nemici o proteggere il tuo villaggio.,"De boogschutterkoningin is een krijger met een haviksoog die een aangepaste, mini-uitvoering van de X-boog hanteert. Ze kan vijandelijke dorpen aanvallen of jouw dorp beschermen.","Bueskytterdronningen er en kriger med ørneblikk, og yndlingsvåpenet hennes er en modifisert X-bue som de fleste menn bare kan drømme om å eie. Hun kan angripe fiendelandsbyer eller vokte landsbyen din.",A Rainha Arqueira é uma guerreira com olho de águia que carrega uma X-Besta em miniatura e modificada que poucos homens ousam em manusear. Ela pode atacar vilas inimigas ou proteger a sua.,"Okçu Kraliçe, çok az erkeğin kullanmayı hayal bile edemeyeceği değiştirilmiş X-Topu kullanan, keskin gözlü bir savaşçıdır. Düşman köylerine saldırabilir ya da senin köylerini savunabilir.",アーチャークイーンは洞察力の鋭い戦士で、他に使える者がいない改良したクロスボウを巧みに使い、敵の村を攻撃したり、自分の村を防御できます。
TID_ARCHER_TOWER_INFO,"Archer Towers have longer range than cannons, and unlike cannons they can attack flying enemies.","Les tours d'archers ont une portée plus importante que les canons, et elles peuvent également attaquer les ennemis volants.",Bogenschützentürme haben eine höhere Reichweite als Kanonen und im Gegensatz zu Kanonen können sie fliegende Feinde angreifen.,"Las torres de arqueros tienen más alcance que los cañones y, además, pueden atacar a enemigos voladores.","Le torri degli arcieri hanno una gittata maggiore dei cannoni e, diversamente dai cannoni, possono attaccare nemici volanti.",Schuttertorens hebben een groter bereik dan kanonnen en kunnen vliegende vijanden aanvallen.,"Bueskyttertårn har større rekkevidde enn kanoner, og kan i motsetning til kanoner angripe flygende fiender.","Torres de Arqueiras apresentam alcance maior que os canhões, e ao contrário destes, podem atacar inimigos voadores.",Okçu Kulelerinin menzili toplardan uzundur ve topların tersine uçan düşmanlara saldırabilirler.,アーチャータワーの範囲はキャノンよりも広く、飛行する敵に対して攻撃を加える点はキャノンとは異なります。
TID_ATTACK_BUTTON,Attack,Attaquer,Angreifen,Atacar,Attacca,Aanvallen,Angrip,Atacar,Saldır,攻撃
TID_ATTACK_COOLDOWN_AFTER_MAINTENANCE,Attacking other players is temporarily disabled!,L'attaque d'autres joueurs a été désactivée temporairement !,Das Angreifen anderer Spieler wurde zeitweise deaktiviert!,¡Se ha desactivado temporalmente el ataque a otros jugadores!,L´attacco è temporaneamente disabilitato!,Het aanvallen van andere spelers is tijdelijk uitgeschakeld!,Angrep mot andre spillere er midlertidig slått av!,Atacar outros jogadores foi desativado temporariamente!,Geçici olarak diğer oyunculara saldıramazsınız!,現在他のプレイヤーへの攻撃はできません！
TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK,Can't attack! Village is already under attack.,Attaque impossible ! Ce village est déjà en cours d'attaque !,Angriff nicht möglich! Dorf wird bereits angegriffen.,¡No se puede atacar! La aldea ya está siendo atacada.,Non è possibile attaccare! Il villaggio. È già sotto attacco.,Je kunt niet aanvallen! Het dorp wordt al aangevallen.,Kan ikke angripe! Landsbyen er allerede under angrep.,Não pode atacar! Vila já está sob ataque.,Saldırılamaz! Köy zaten saldırıya uğradı.,すでに攻撃されているため、この村を攻撃できません。
TID_ATTACK_FAIL_GENERIC,Unable to find villages to attack!,Impossible de trouver des villages à attaquer !,Keine Dörfer für Angriffe gefunden!,¡No se han hallado aldeas que atacar!,Impossibile trovare villaggi da attaccare!,Geen dorpen gevonden om aan te vallen!,Finner ingen landsbyer å angripe!,Não foi possível encontrar aldeias para atacar!,Saldırılacak köy bulunamıyor!,攻撃する村が見つかりません！
TID_ATTACK_FAIL_LEVEL_DIFFERENCE,Can't attack! Level difference is more than <level>,Attaque impossible ! La différence de niveaux est de plus de <level>,Angriff nicht möglich! Levelunterschied höher als <level>,¡No se puede atacar! La diferencia de nivel es superior a <level>.,Non è possibile attaccare! Il livello di difesa è più alto di <level>,Je kunt niet aanvallen! Levelverschil is meer dan <level>,Kan ikke angripe! Nivåforskjellen er mer enn <level>,Não pode atacar! Diferença de nível é maior que <level>,Saldırılamaz! Seviye farkı <level> seviyeden fazla,レベルの差が<level>以上のため、この村を攻撃できません。
TID_ATTACK_FAIL_NEWBIE_PROTECTED,Can't attack this village because its Town Hall is below level <number>.,Attaque impossible ! L'hôtel de ville de ce village est en-dessous du niveau <number>.,"Angriff auf dieses Dorf nicht möglich, da das Rathaus unter Level <number> liegt.",No se puede atacar porque su ayuntamiento tiene un nivel inferior a <number>.,Non è possibile attaccare questo villaggio perché il livello del Municipio è inferiore a <number>.,Je kunt dit dorp niet aanvallen omdat het level van het stadhuis lager is dan <number>.,Kan ikke angripe denne landsbyen fordi rådhuset dens er under nivå <number>.,Não é possível atacar essa vila porque seu Centro da Vila está abaixo do nível <number>.,Köy Binası <number>. seviyenin altında olduğundan bu köye saldırılamaz.,タウンホールのレベルが<number>以下のため、この村を攻撃できません。
TID_ATTACK_FAIL_NO_MATCHES,Unable to find villages to attack!,Impossible de trouver des villages à attaquer !,Es könnten keine angreifbaren Dörfer gefunden werden!,¡No se han encontrado aldeas que atacar!,Non è stato possibile trovare dei villaggi da attaccare!,Kan geen dorpen vinden om aan te vallen!,Finner ikke landsbyer å angripe!,Não foi possível encontrar vilas para atacar!,Saldırılacak köy bulunamıyor!,攻撃する村が見つかりません！
TID_ATTACK_FAIL_SAME_ALLIANCE,Can't attack your own clan members!,Attaque impossible ! Vous ne pouvez attaquer votre propre clan !,Angriff auf deine eigenen Clanmitglieder nicht möglich!,¡No puedes atacar a miembros de tu clan!,Non puoi attaccare i membri del tuo stesso clan.,Je kunt geen leden van je eigen clan aanvallen!,Kan ikke angripe dine egne klanmedlemmer!,Não pode atacar seus próprios membros do clã!,Kendi klan üyelerine saldıramazsın!,加入しているクランメンバーの村のため、この村を攻撃できません！
TID_ATTACK_FAIL_SHIELD,Can't attack! Village has active shield,Attaque impossible ! Ce village possède un bouclier de protection,Angriff nicht möglich! Dorf verfügt über aktives Schild,¡No se puede atacar! La aldea tiene un escudo activo.,Non è possibile attaccare! Il villaggio ha uno scudo attivo,Je kunt niet aanvallen! Dorp heeft een actief schild.,Kan ikke angripe! Landsbyen har aktivt skjold,Não pode atacar! Vila tem escudo ativo,Saldırılamaz! Köyün etkin kalkanı var,村にシールドがかけられているため、この村を攻撃できません。
TID_ATTACK_FAIL_TARGET_ONLINE,Can't attack! Village owner is online.,Attaque impossible ! Le propriétaire de ce village est en ligne.,Angriff nicht möglich! Dorfbesitzer ist online.,¡No se puede atacar! El dueño de la aldea está conectado.,Non è possibile attaccare! Il proprietario del villaggio è online.,Je kunt niet aanvallen! De eigenaar van het dorp is online.,Kan ikke angripe! Landsbyeieren er tilkoblet.,Não pode atacar! Proprietário da vila está online.,Saldırılamaz! Köyün sahibi çevrimiçi.,村のオーナーがオンライン中のため、この村を攻撃できません。
TID_ATTACK_LOCKED,Upgrade Town Hall to level 2 to unlock this feature!,Améliorer l'hôtel de ville au niveau 2 pour débloquer cette fonction !,"Verbessere das Rathaus auf Level 2, um diese Funktion freizuschalten!",¡Mejora el ayuntamiento al nivel 2 para desbloquearlo!,Porta il municipio al livello 2 per sbloccare questa caratteristica!,Upgrade het stadhuis naar level 2 om deze functie te ontgrendelen!,Oppgrader rådhuset til nivå 2 for å åpne denne funksjonen!,Atualize o Centro da Vila ao nível 2 para desbloquear esse recurso!,Bu özelliği açmak için Köy Binasını 2. seviyeye yükselt!,タウンホールをレベル2にアップグレードして、この特性のロックを解除します。
TID_AVAILABLE_LOOT,Available Loot:,Butin disponible :,Verfügbare Beute:,Botín disponible:,Bottino disponibile:,Beschikbare buit:,Tilgjengelig bytte:,Roubo disponível:,Mevcut Ganimet:,戦利品：
