TID,EN,FR,DE,ES,IT,NL,NO,PT,TR
TID_HOUSING_TROOPS_INSIDE,All troops:,Toutes les troupes :,Alle Truppen:,Todas las tropas:,Tutte le truppe:,Alle troepen:,Alle tropper:,Todas as tropas:,Tüm birlikler:
TID_IF_LOST,Defeat:,Défaite :,Geschlagen:,Derrota:,Sconfitti:,Nederlaag:,Vunnet:,Derrota:,Yenilgi:
TID_INFO,i,i,i,i,i,i,i,Eu,ben
TID_INFO_DAMAGE_TYPE,Damage type:,Type de dégâts :,Schadensart:,Tipo de daño:,Tipo di danno:,Schadetype:,Skadetype:,Tipo de dano:,Hasar türü:
TID_INFO_DAMAGE_TYPE_AOE,Area Splash,Zone étendue,Flächenwirkung,Salpicadura,Raggio d´azione,Gebiedaanval,Områdespredning,Área de Respingo,Alan Tesiri
TID_INFO_DAMAGE_TYPE_SINGLE,Single Target,Cible unique,Einzelziel,Objetivo único,Obiettivo singolo,Enkel doelwit,Enkeltmål,Alvo simples,Tek Hedef
TID_INFO_EFFECT_TYPE,Effect type:,Type d´effet :,Effekttyp:,Tipo de efecto:,Tipo effetto:,Soort effect:,Type effekt,Tipo de efeito:,Etki türü:
TID_INFO_FORGING_TIME,Time to create:,Temps de création :,Erzeugungszeit:,Tiempo de creación:,Tempo per creare:,Tijd om te creëren:,Tid til å lage:,Tempo para criar:,Üretme zamanı:
TID_INFO_HEAL_TYPE,Heal type:,Type de soin :,Heilungsart:,Tipo curación:,Tipo di guarigione:,Helingtype:,Helbredstype:,Tipo de cura:,İyileşme türü:
TID_INFO_HOUSING,Housing Space:,Capacité de logement :,Wohnraum:,Espacio viviendas:,Spazio:,Huisvest:,Husrom:,Espaço de Habitação:,Barınma Alanı:
TID_INFO_PREFERRED_TARGET,Favorite target:,Cible préférée :,Bevorzugtes Ziel:,Objetivo favorito:,Bersaglio preferito:,Favoriete doelwit:,Favorittmål:,Alvo favorito:,Favori hedef:
TID_INFO_RANGE,Range:,Portée :,Reichweite:,Alcance:,Distanza:,Bereik:,Rekkevidde:,Faixa:,Menzil:
TID_INFO_RANGE_VALUE,<number> Tiles,<number> cases,<number> Kacheln,<number> cuadros,<number> riquadri,<number> tegels,<number> fliser,<number> Azulejos,<number> Kare
TID_INFO_TARGET_TYPE,Targets:,Cible :,Ziele:,Objetivos:,Obiettivi:,Doelwitten:,Mål:,Alvos:,Hedefler:
TID_INFO_TARGET_TYPE_AIR,Air,Aérienne,Luft,Aire,Aria,Lucht,Luft,Ar,Hava
TID_INFO_TARGET_TYPE_GROUND,Ground,Terrestre,Boden,Tierra,Terra,Land,Bakke,Solo,Yer
TID_INFO_TARGET_TYPE_GROUND_AND_AIR,Ground & Air,Terrestre & aérienne,Boden & Luft,Tierra y aire,Terra e aria,Grond en lucht,Bakke & luft,Solo e Ar,Yer ve Hava
TID_INFO_TRAINING_TIME,Training Time:,Temps de formation :,Trainingszeit:,Tiempo entrenamiento,Tempo di addestramento:,Trainingstijd:,Treningstid:,Tempo de treino:,Eğitim Süresi:
TID_INVALID_NAME,Invalid name! Please try another one.,Nom incorrect ! Veuillez en choisir un autre.,Ungültiger Name! Bitte versuch einen anderen.,¡Nombre no válido! Prueba con otro.,Nome non valido! Prova con un altro.,Ongeldige naam! Probeer een andere naam.,Ugyldig navn! Forsøk et annet.,"Nome inválido! Por favor, tente outro.",Geçersiz ad! Lütfen başka bir tane dene.
TID_INVALID_PLACEMENT,Invalid location! Tap on an empty area,Emplacement non valide ! Touchez une zone libre,Ungültiger Ort! Tippe auf ein leeres Gebiet,¡Lugar no válido! Toca una zona vacía.,Luogo vietato! Tocca un´area libera.,Ongeldige locatie! Tik op een leeg gebied,Ugyldig plassering! Trykk på et tomt område,Local inválido! Toque em uma área vazia,Geçersiz konum! Boş bir alana dokun
TID_INVITE_BUTTON,Invite,Inviter,Einladen,Invitar,Invita,Uitnodigen,Inviter,Convidar,Davet et
TID_ITEM_BROKEN,<item> (Broken),<item> (cassé),<item> (Kaputt),<item> (roto),<item> (Broken),<item> (kapot),<item> (ødelagt),<item> (Quebrado),<item> (Bozuk)
TID_ITEM_LEVEL,<item> (Level <number>),<item> (niveau <number>),<item> (Level <number>),<item> (nivel <number>),<item> (Level <number>),<item> (level <number>),<item> (nivå <number>),<item> (Nível <number>),<item> (Seviye <number>)
TID_JOINALLIANCEQUESTION,Accept Clan invitation?,Accepter l'invitation de clan ?,Claneinladung annehmen?,¿Aceptar invitación del clan?,Accettare l´invito nel clan?,Clanuitnodiging accepteren?,Godta klaninvitasjon?,Aceitar o convite do clã?,Klan daveti kabul edilsin mi?
TID_JOINQUESTION,Want to join?,Voulez-vous participer ?,Möchtest du beitreten?,¿Quieres unirte?,Vuoi unirti?,Wil je deelnemen?,Slik deltar du,Quer participar?,Katılmak istiyor musun?
TID_JOIN_ALLIANCE_TAB,Join Clan,Rejoindre le clan,Clan beitreten,Unirse al clan,Unisciti al Clan,Bij clan gaan,Delta i klan,Juntar-se ao Clã,Klana Katıl
TID_JUMP_MASS,Size limit: <number>,Taille max. : <number>,Größengrenze: <number>,Límite de tamaño: <number>,Limite dimensione: <number>,Groottelimiet: <number>,Størrelsesgrense: <number>,Limite de tamanho: <number>,Kapasite: <number>
TID_JUMP_SPELL,Jump Spell,Sort de Saut,Sprung-Zauberspruch,Hechizo de salto,Incantesimo del Salto,Sprongspreuk,Hoppeformel,Feitiço de Salto,Atlama Büyüsü
TID_JUMP_SPELL_INFO,Having trouble with walls? Try jumping over them!\n\nCast to give your troops temporary ability to jump over walls. Upgrade to also allow Giants and P.E.K.K.A.s to jump.,Les murs vous posent problème ? Sautez par-dessus !\n\nInvoquez ce sort pour permettre temporairement à vos troupes de sauter par-dessus les murs. Améliorez ce sort pour permettre également aux géants et aux P.E.K.K.A. de sauter.,"Hast du Probleme mit Mauern? Versuche, sie zu überspringen!\n\nZaubere, damit deine Truppen kurzzeitig über Mauern springen können. Verbessere, damit auch Riesen und P.E.K.K.A.s springen können.",¿Tienes problemas con las murallas? ¡Pues sáltalas!\n\nLánzalo para dar a tus tropas la habilidad de saltar murallas de forma temporal. Mejóralo para que también puedan saltar los gigantes y las P.E.K.K.A.,Hai dei problemi con i muri? Prova a saltarli!\n\Lancia questo incantesimo per dare temporaneamente alle tue truppe l'abilità di saltare i muri. Puoi migliorare questo incantesimo per permettere anche ai Giganti e ai P.E.K.K.A di saltare.,Problemen met muren? Probeer er overheen te springen!\n\nGeef je troepen een tijdelijke boost om over muren te springen. Upgrade de spreuken om ook reuzen en P.E.K.K.A's over muren te laten springen.,Har du trøbbel med murer? Prøv å hoppe over dem!\n\nBruk en formel for å gi soldatene en kortvarig evne til å hoppe over murer. Oppgrader slik at også kjemper og P.E.K.K.A.-er kan hoppe.,Está tendo problema com os muros? Tente saltar por cima deles!\n\nLance o feitiço para conceder as suas tropas a habilidade temporária de pular sobre muros. Atualize para permitir também que gigantes e P.E.K.K.As possam pular.,Duvarlarla başın dertte mi? Üzerlerinden atlamayı dene!\n\nAskerlerine geçici olarak duvarların üzerinden atlama yeteneği kazandır. Dev ve P.E.K.K.A.'ların da zıplamasını sağlamak için yükselt.
TID_KICKED_FROM_ALLIANCE,You have been kicked from Clan: <msg>,Vous avez été exclus du clan : <msg>,Du wurdest aus dem Clan ausgestoßen: <msg>,Te han expulsado del clan: <msg>,Sei stato espulso dal Clan: <msg>,Je bent verwijderd uit: <msg>,Du har blitt sparket ut fra klanen: <msg>,Você foi expulso do Clã: <msg>,Klandan atıldınız: <msg>
TID_KICK_DEFAULT_MESSAGE,"Sorry, we decided to kick you out of the clan.","Désolé, nous avons décidé de vous exclure du clan.","Tut uns leid, wir haben uns dazu entschieden, dich aus dem Clan auszustoßen.","Lo sentimos, hemos decidido expulsarte del clan.","Spiacenti, abbiamo deciso di espellerti dal clan.","Sorry, we hebben besloten je uit de clan te zetten.","Beklager, vi har bestemt å sparke deg ut av klanen.","Desculpe, nós decidimos expulsar você do clã.","Üzgünüz, sizi klandan atmaya karar verdik."
TID_KICK_MEMBER_CONFIRMATION,Kick out <name> from the Clan?,Exclure <name> du clan ?,<name> aus dem Clan werfen?,¿Expulsar a <name> del clan?,Vuoi espellere <name> dal clan?,<name> uit de clan zetten?,Sparke <name> fra klanen?,Explusar <name> do Clã?,<name> Klandan atılsın mı?
TID_KICK_MEMBER_CONFIRMATION_TITLE,Banishment!,Bannissement !,Verbannung!,¡Desaparición!,Esilio!,Verbannen!,Utvisning!,Banimento!,Kovma!
TID_KICK_MESSAGE_TITLE,Kick Out: <name>?,Exclure : <name> ?,Ausstoßen: <name>?,¿Expulsar: <name>?,Vuoi espellere: <name>?,<name> verwijderen?,Spark ut: <name>?,Expulsar: <name>?,<name> Atılsın mı?
TID_KICK_OUT_FROM_ALLIANCE,Kick Out,Exclure,Rauswerfen,Expulsar,Espelli,Uitzetten,Utspark,Expulsar,At
TID_LABORATORY_INFO,"What dark secrets do the Alchemists hide inside their Laboratory? Nobody has dared to look. All we know is that their research makes our spells and troops harder, better, faster and stronger!","Quels sombres secrets cachent les alchimistes dans leur laboratoire ? Personne n'ose entrer. Tout ce que l'on sait, c'est que leurs travaux de recherche améliorent nos sorts et nos troupes !","Welches dunkle Geheimnis verbergen die Alchemisten in ihrem Labor? Keiner traut sich nachzusehen. Wir wissen nur, dass ihre Forschumgem unsere Zaubersprüche und Truppen harter, besser, schneller und stärker machen!","¿Qué secretos esconden los Alquimistas en su laboratorio? Nadie se ha atrevido a mirar. ¡Lo único que sabemos es que su investigación hace nuestros hechizos y tropas más duros, mejores, más rápidos y más fuertes!","Quali oscuri segreti nascondono gli alchimisti all'interno del loro laboratorio? Nessuno ha avuto il coraggio di scoprirlo. Tutto quello che sappiamo è che la loro ricerca rende i nostri incantesimi e le truppe più forti, migliori, più veloci e più resistenti!","Wat voor duistere geheimen verbergen de Alchemisten in hun Laboratorium? Niemand heeft durven kijken. Het enige dat we weten is dat hun onderzoek onze spreuken en troepen krachtiger, beter, sneller, en sterker maakt!","Hvilke mørke hemmeligheter gjemmer alkymister i laboratoriene? Ingen har turt å se. Alt vi vet er at deres forskning har gjort vår trolldom og tropper hardere, bedre, kjappere og sterkere!","Que segredos sombrios os Alquimistas ocultam em seu Laboratório? Ninguém ousa olhar. Tudo que sabemos é que suas pesquisas tornam nossos feitiços e tropas melhores, mais rápidos e mais fortes!","Simyacılar Laboratuarlarında hangi karanlık sırları saklıyorlar? Kimse bakmaya cesaret edemedi. Tek bildiğimiz, onların araştırmaları büyülerimizi ve birliklerimizi daha güçlü, iyi ve hızlı yapıyor!"
TID_LANGUAGE_LOCALIZED_NAME,English,Français,Deutsch,Español,Italiano,Nederlands,Norsk,Português,Türkçe
TID_LEADERBOARDBANNER_1,1),1),1),1),1),1),1),1),1)
TID_LEADERBOARDBANNER_2,2),2),2),2),2),2),2),2),2)
TID_LEADERBOARDBANNER_3,3),3),3),3),3),3),3),3),3)
TID_LEADERBOARDBANNER_CLANTOURNAMENTS,Master Tournament,Tournoi des Maîtres,Meisterturnier,Torneo de maestros,Torneo Master,Meestertoernooi,Mesterskapsturnering,Torneio principal,Usta Turnuvası
TID_LEADERBOARDBANNER_REWARD,The Top 3 Clans receive: (divided equally among the top 10 players of the clan),Les 3 meilleurs clans reçoivent : (répartition équitable entre les 10 meilleurs joueurs du clan),Die besten 3 Clans erhalten: (unter den besten 10 Spielern des Clans gleichmäßig verteilt),Los 3 primeros clanes recibirán: (dividivo igualmente entre los 10 jugadores del clán),I primi 3 clan ricevono: (divisi in parti uguali tra i primi 10 giocatori del clan),De beste 3 clans ontvangen: (evenredig verdeeld over de beste 10 spelers van de clan),De tre (3) beste klanene mottar: (likt fordelt mellom de ti (10) beste spillerne i klanen),Os primeiros 3 Clãs recebem: (dividido igualmente entre os 10 melhores jogadores do clã),Zirvedeki 3 Klan şunları alır: (klanın ilk 10 kişisi arasında eşitçe paylaştırılır)
TID_LEADERBOARDBANNER_TIMELEFT,Ends in:,Fin dans :,Endet in:,Termina en:,Termina tra:,Eindigt over:,Slutter om:,Termina em:,Bitiş:
TID_LEAVE_ALLIANCE_BUTTON,Leave,Quitter,Verlassen,Dejar,Abbandona,Verlaten,Forlat,Deixar,Ayrıl
TID_LEVEL_NUM,Level <number>,Niveau <number>,Level <number>,Nivel <number>,Livello <number>,Level <number>,Nivå <number>,Nível <number>,Seviye <number>
TID_LEVEL_UP,Level Up!,Niveau gagné !,Levelaufstieg!,¡Sube nivel!,Aumenta di livello!,Hoger level!,Nivå opp!,Nível Aumentado!,Yeni Seviye!
TID_LIGHTNING_STORM,Lightning Spell,Sort de foudre,Blitzzauberspruch,Hechizo de rayo,Incantesimo fulmine,Bliksemspreuk,Lynformel,Feitiço de Relâmpago,Yıldırım Büyüsü
TID_LIGHTNING_STORM_INFO,Electrocute your enemies with bolts of lightning!\n\nCast this spell at the enemy village to damage buildings and units inside a small area.,Électrocutez vos ennemis avec des éclairs !\n\nLancez ce sort sur un village ennemi pour endommager les bâtiments et les unités dans une petite zone.,"Töte deine Feinde mit Blitzen!\n\nSprich diesen Zauber gegen ein feindliches Dorf, um Gebäude und Truppen in einem kleinen Bereich zu schädigen.",Electrocuta a tus enemigos con rayos!\n\nLanza este hechizo al pueblo enemigo para dañar edificios y unidades en una zona pequeña.,Folgora i nemici con dei micidiali fulmini!\n\nLancia questo incantesimo contro il villaggio nemico per infliggere dei danni agli edifici ed alle unità entro un'area limitata.,Elektrocuteer je vijanden met bliksemschichten!n\nSpreek deze toverspreuk uit tegen het vijandelijke dorp om gebouwen en eenheden op een klein gebied te beschadigen.,Gi fienden støt med lynnedslag!\n\nBruk denne magien på fiendens bygd for å ødelegge bygninger og enheter i en begrenset område.,Eletrocute os seus inimigos com raios de luz!\n\nLance este feitiço na aldeia inimiga para destruir prédios e unidades numa pequena área.,Şimşekleri kullanarak düşmanları elektrikle yok edin!\n\nKüçük bir alandaki bina ve birliklere zarar vermek için bu büyüyü düşman köyünde yapın.
TID_LOADING,Loading,Chargement,Lädt,Cargando,Caricamento,Bezig met laden,Laster,Carregando,Yükleniyor
TID_LOADING_FACEBOOK_FRIENDS,Loading friend list...,Chargement de la liste d'amis...,Freundesliste laden ...,Cargando lista de amigos...,Caricamento lista amici...,Vriendenlijst wordt geladen...,Laster venneliste ...,Carregando lista de amigos ...,Arkadaş listesi okunuyor...
